,Region,Light Pollution,Time
0,Anaheim,254.07387234,2017-08
1,Bakersfield,240.358355661,2017-08
2,Fresno,241.282042889,2017-08
3,Irvine,247.288329122,2017-08
4,La Jolla,213.441906411,2017-08
5,Long Beach,197.158459975,2017-08
6,Los Angeles,254.086166667,2017-08
7,Oakland,229.924629237,2017-08
8,Riverside,239.747801073,2017-08
9,Sacramento,247.03758584,2017-08
10,San Bernardino,247.724052024,2017-08
11,San Diego,243.217286442,2017-08
12,San Francisco,203.943637408,2017-08
13,San Jose,246.5452,2017-08
14,Santa Barbara,59.2490098102,2017-08
