,Region,Light Pollution,Time
0,Anaheim,251.833191489,2018-01
1,Bakersfield,231.64546739,2018-01
2,Fresno,237.935101219,2018-01
3,Irvine,241.873965556,2018-01
4,La Jolla,201.20591395,2018-01
5,Long Beach,192.788965157,2018-01
6,Los Angeles,251.9661,2018-01
7,Oakland,225.118979911,2018-01
8,Riverside,233.246292881,2018-01
9,Sacramento,242.716648273,2018-01
10,San Bernardino,242.226248202,2018-01
11,San Diego,232.376903809,2018-01
12,San Francisco,203.179713962,2018-01
13,San Jose,243.70775,2018-01
14,Santa Barbara,60.9347944527,2018-01
