,Region,Light Pollution,Time
0,Anaheim,254.110808511,2017-09
1,Bakersfield,237.126111846,2017-09
2,Fresno,243.863767911,2017-09
3,Irvine,246.78411803,2017-09
4,La Jolla,214.102911998,2017-09
5,Long Beach,197.37331445,2017-09
6,Los Angeles,254.097566667,2017-09
7,Oakland,233.752518602,2017-09
8,Riverside,240.511296625,2017-09
9,Sacramento,248.583337815,2017-09
10,San Bernardino,246.08656966,2017-09
11,San Diego,241.738908736,2017-09
12,San Francisco,208.619759355,2017-09
13,San Jose,246.5331,2017-09
14,Santa Barbara,58.1851627098,2017-09
