,Region,Light Pollution,Time
0,Anaheim,250.643724007,2017-01
1,Bakersfield,233.506673717,2017-01
2,Fresno,238.699793573,2017-01
3,Irvine,243.153738746,2017-01
4,La Jolla,210.461517872,2017-01
5,Long Beach,197.012690336,2017-01
6,Los Angeles,253.538619433,2017-01
7,Oakland,229.085831878,2017-01
8,Riverside,238.986372629,2017-01
9,Sacramento,241.764095439,2017-01
10,San Bernardino,241.407717555,2017-01
11,San Diego,229.56530045,2017-01
12,San Francisco,204.594530359,2017-01
13,San Jose,249.197927419,2017-01
14,Santa Barbara,67.2774741719,2017-01
