,Region,Light Pollution,Time
0,Anaheim,253.414808511,2017-03
1,Bakersfield,238.124562628,2017-03
2,Fresno,240.457699726,2017-03
3,Irvine,245.747017885,2017-03
4,La Jolla,205.264093385,2017-03
5,Long Beach,196.807649256,2017-03
6,Los Angeles,253.5581,2017-03
7,Oakland,226.394397438,2017-03
8,Riverside,238.10211894,2017-03
9,Sacramento,245.441977603,2017-03
10,San Bernardino,245.88146357,2017-03
11,San Diego,238.655002764,2017-03
12,San Francisco,206.64439746,2017-03
13,San Jose,250.637764746,2017-03
14,Santa Barbara,54.0513688316,2017-03
