"County","Sector","2006","2007","2008","2009","Total Usage"
"SUTTER","Residential","     273.192945","     274.191021","     282.704335","     278.539335","    1108.627636"
"SUTTER","Total","     623.152349","     622.167837","     636.286045","     624.872045","    2506.478276"
"TEHAMA","Non-Residential","     246.719274","     280.558716","     278.964552","     260.939552","    1067.182094"
"TEHAMA","Residential","     225.300091","     230.716962","     238.471979","     239.346979","     933.836011"
"TEHAMA","Total","     472.019365","     511.275678","     517.436531","     500.286531","    2001.018105"
"TRINITY","Non-Residential","      80.263641","      37.072922","      37.573068","      37.581068","     192.490699"
"TRINITY","Residential","      57.845638","      63.620231","      64.353123","      64.848123","     250.667115"
"TRINITY","Total","     138.109279","     100.693153","     101.926192","     102.429192","     443.157816"
"TULARE","Non-Residential","    2435.480371","    2598.617135","    2717.919136","    2694.871333","   10446.887975"
"TULARE","Residential","    1197.657985","    1115.572889","    1161.914125","    1184.674684","    4659.819683"
"TULARE","Total","    3633.138356","    3714.190025","    3879.833262","    3879.546017","   15106.707660"
"TUOLUMNE","Non-Residential","     607.018548","     214.609465","     208.028207","     208.530159","    1238.186379"
"TUOLUMNE","Residential","     217.061903","     223.131829","     228.642608","     225.370387","     894.206727"
"TUOLUMNE","Total","     824.080451","     437.741295","     436.670815","     433.900546","    2132.393107"
"VENTURA","Non-Residential","    3877.860079","    3858.975750","    4040.678769","    3838.246810","   15615.761408"
"VENTURA","Residential","    1775.602427","    1837.175748","    1886.602526","    1847.990862","    7347.371563"
"VENTURA","Total","    5653.462506","    5696.151498","    5927.281296","    5686.237673","   22963.132973"
"YOLO","Non-Residential","    1113.287820","    1173.836613","    1185.224516","    1175.021516","    4647.370465"
"YOLO","Residential","     506.077856","     499.107611","     517.532343","     516.700343","    2039.418153"
"YOLO","Total","    1619.365675","    1672.944224","    1702.756860","    1691.721860","    6686.788619"
"YUBA","Non-Residential","     299.963921","     294.390881","     293.158631","     296.786631","    1184.300064"
"YUBA","Residential","     191.793005","     199.026980","     204.318216","     206.835216","     801.973417"
"YUBA","Total","     491.756926","     493.417861","     497.476847","     503.621847","    1986.273481"
