,Region,Light Pollution,Time
0,Anaheim,251.659165957,2017-02
1,Bakersfield,234.171755388,2017-02
2,Fresno,238.257960448,2017-02
3,Long Beach,197.923291475,2017-02
4,Los Angeles,252.295366667,2017-02
5,Oakland,228.618597033,2017-02
6,Sacramento,241.448680765,2017-02
7,San Diego,237.918309397,2017-02
8,San Francisco,205.431524451,2017-02
9,San Jose,249.764822581,2017-02
