,Region,Light Pollution,Time
0,Anaheim,253.821617021,2018-04
1,Bakersfield,237.267512076,2018-04
2,Fresno,241.556149969,2018-04
3,Long Beach,198.921329183,2018-04
4,Los Angeles,254.541633333,2018-04
5,Oakland,229.099764102,2018-04
6,Sacramento,246.709021023,2018-04
7,San Diego,240.038314165,2018-04
8,San Francisco,205.188165215,2018-04
9,San Jose,250.144361031,2018-04
