,Region,Light Pollution,Time
0,Anaheim,252.136578723,2018-05
1,Bakersfield,237.724673131,2018-05
2,Fresno,244.517379539,2018-05
3,Long Beach,198.008437951,2018-05
4,Los Angeles,253.2206,2018-05
5,Oakland,230.391503187,2018-05
6,Sacramento,244.68707024,2018-05
7,San Diego,240.186689495,2018-05
8,San Francisco,206.897300278,2018-05
9,San Jose,252.682279805,2018-05
