,Region,Light Pollution,Time
0,Anaheim,254.690791489,2017-07
1,Bakersfield,239.205699812,2017-07
2,Fresno,245.858974975,2017-07
3,Irvine,247.503126814,2017-07
4,La Jolla,210.408729698,2017-07
5,Long Beach,199.686849948,2017-07
6,Los Angeles,254.582933333,2017-07
7,Oakland,228.910792168,2017-07
8,Riverside,240.824486236,2017-07
9,Sacramento,248.187023213,2017-07
10,San Bernardino,248.310858277,2017-07
11,San Diego,241.931455381,2017-07
12,San Francisco,205.020281976,2017-07
13,San Jose,252.723082189,2017-07
14,Santa Barbara,59.2585965609,2017-07
