,Region,Light Pollution,Time
0,Anaheim,254.473123404,2017-11
1,Bakersfield,239.939027153,2017-11
2,Fresno,245.162936065,2017-11
3,Irvine,248.395480017,2017-11
4,La Jolla,212.179867228,2017-11
5,Long Beach,198.962773384,2017-11
6,Los Angeles,254.682366667,2017-11
7,Oakland,228.282049715,2017-11
8,Riverside,243.390215334,2017-11
9,Sacramento,246.980519237,2017-11
10,San Bernardino,249.697476646,2017-11
11,San Diego,241.038869575,2017-11
12,San Francisco,206.314425145,2017-11
13,San Jose,252.4773,2017-11
14,Santa Barbara,111.928109122,2017-11
