,Region,Light Pollution,Time
0,Anaheim,253.519557447,2017-10
1,Bakersfield,239.243406074,2017-10
2,Fresno,243.342914478,2017-10
3,Irvine,246.941634744,2017-10
4,La Jolla,212.520337872,2017-10
5,Long Beach,197.712293496,2017-10
6,Los Angeles,253.9272,2017-10
7,Oakland,228.354510667,2017-10
8,Riverside,240.897276032,2017-10
9,Sacramento,246.20165024,2017-10
10,San Bernardino,247.514464693,2017-10
11,San Diego,240.449953469,2017-10
12,San Francisco,207.510350432,2017-10
13,San Jose,250.572398533,2017-10
14,Santa Barbara,63.705271303,2017-10
