,Region,Light Pollution,Time
0,Anaheim,254.429344681,2017-04
1,Bakersfield,238.871757754,2017-04
2,Fresno,242.346065315,2017-04
3,Irvine,248.271311965,2017-04
4,La Jolla,209.440514467,2017-04
5,Long Beach,198.37714045,2017-04
6,Los Angeles,254.458333333,2017-04
7,Oakland,230.489756645,2017-04
8,Riverside,241.56858327,2017-04
9,Sacramento,249.78745201,2017-04
10,San Bernardino,248.507890093,2017-04
11,San Diego,240.873446221,2017-04
12,San Francisco,209.030754263,2017-04
13,San Jose,248.368252964,2017-04
14,Santa Barbara,58.0970624375,2017-04
