,Region,Light Pollution,Time
0,Anaheim,253.303523404,2017-12
1,Bakersfield,236.870487929,2017-12
2,Fresno,243.216312666,2017-12
3,Irvine,245.300201259,2017-12
4,La Jolla,205.920071776,2017-12
5,Long Beach,194.466518949,2017-12
6,Los Angeles,253.5248,2017-12
7,Oakland,225.856534297,2017-12
8,Riverside,237.170158464,2017-12
9,Sacramento,247.185354485,2017-12
10,San Bernardino,246.778272517,2017-12
11,San Diego,238.519218228,2017-12
12,San Francisco,204.660923228,2017-12
13,San Jose,247.123651331,2017-12
14,Santa Barbara,65.9754604843,2017-12
